Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"HB 1849","f#","Uniform ballot design","H State Governmen","","1/11/2016","Gregory"
"HB 1850","f#","DOT, local reviews & permits","H subst for","","3/10/2015","Hayes"
"HB 1851","f#","Bridges, expedited process","H subst for","","3/10/2015","Hayes"
"HB 1852","f","Pediatric oral services","H HC/Wellness","","1/11/2016","Caldier"
"HB 1853","f","Electric vehicle charging","H subst for","","3/5/2015","Magendanz"
"HB 1854","f","Certif'd instructional staff","H Education","","1/30/2015","Magendanz"
"HB 1855","f","Local graduation requiremnts","H subst for","","3/2/2015","Caldier"
"HB 1856","f#","Median hourly wage/CERB prog","H Tech &  Econ D","","1/30/2015","Ryu"
"HB 1857","f#","Extreme risk protec. orders","H Approps","","2/23/2015","Jinkins"
"HB 1858","","Cty auditors & sec of state","C 83 L 16","","3/31/2016","Shea"
"EHB 1859","d","RCW statutes/inactive, etc.","C 4 L 15 E1","","6/10/2015","Kilduff"
"HB 1860","","Large 1st-class school dists","H Education","","1/30/2015","Santos"
"HB 1861","f","Small business B&O tax defer","H Finance","","1/30/2015","Harmsworth"
"HB 1862","","School counselors, etc.","H Education","","1/30/2015","Ortiz-Self"
"HB 1863","f","Cmty & tech coll. employees","H Approps","","1/11/2016","Reykdal"
"HB 1864","fo","High school graduation","H Approps","","2/20/2015","Kilduff"
"HB 1865","f","Visual screening in schools","H Approps","","1/19/2016","Magendanz"
"HB 1866","","Voter reg. info/res. tenants","H State Governmen","","1/11/2016","Bergquist"
"HB 1867","f","Classroom teacher evaluation","H subst for","","2/10/2016","Bergquist"
"EHB 1868","a","County road fund purposes","C 223 L 15","","5/11/2015","Lytton"
"HB 1869","f","Tow truck operator licensing","H Trans","","1/30/2015","Pollet"
"HB 1870","f","Hospital ownership","H HC/Wellness","","2/2/2015","Schmick"
"HB 1871","f","Credit union governance","H Bus & Fin Svcs","","1/11/2016","Ryu"
"HB 1872","f","Credit unions' capital","H Bus & Fin Svcs","","2/2/2015","Ryu"
"HB 1873","fd","Physicians and PA's","H HC/Wellness","","2/2/2015","Tharinger"
"HB 1874","fd","Allopathic physicians","H subst for","","3/9/2015","Tharinger"
"HB 1875","f","WorkFirst, ""work activity""","H subst for","","3/4/2015","Walsh"
"HB 1876","f","Security systm installations","H Labor","","2/2/2015","Manweller"
"HB 1877","","Pro athlete fines to charity","H Bus & Fin Svcs","","2/2/2015","MacEwen"
"HB 1878","","Glucagon, EMTs administering","H HC/Wellness","","2/2/2015","Kagi"
"HB 1879","f","Foster children health care","H subst for","","3/5/2015","Kagi"
"HB 1880","f","Everett Cmty Coll./aerospace","H Hi Ed","","1/11/2016","Springer"
"HB 1881","","Carbon content of fuel","H Environment","","2/2/2015","Short"
"HB 1882","fo","Charter & excursion carriers","H Trans","","1/11/2016","Moscoso"
"HB 1883","fd","Child abuse & neglect cases","H Erly Lrn/H Svc","","2/2/2015","Senn"
"HB 1884","f#","Electric mobility devices","C 145 L 15","","4/29/2015","Vick"
"HB 1885","f#","Property crimes, impacts of","H Rules R","","2/27/2015","Klippert"
"HB 1886","","Initiative 594, full repeal","H Judiciary","","2/2/2015","Hunt, G."
"HB 1887","f","Student veterans' support","H Approps","","2/18/2015","Stanford"
"HB 1888","f","Chemical dependency treatmnt","H Approps","","2/5/2016","Dent"
"HB 1889","f#","Permit exempt wells & GMHBs","H Local Govt","","2/2/2015","Dent"
"EHB 1890","","Paying issuers/second-party","C 284 L 15","","5/18/2015","Schmick"
"HB 1891","f#","Stage II gas vapor control","H Environment","","1/11/2016","Fey"
"HB 1892","f","Vehicle fuel handling losses","H subst for","","4/10/2015","Fey"
"HB 1893","f","Cmty & tech college budgets","H subst for","","3/6/2015","Sells"
"HB 1894","","Protection of workers","H Judiciary","","2/2/2015","Gregerson"
"HB 1895","f","Smart grid technology","H Tech &  Econ D","","2/2/2015","Smith"
"HB 1896","f","Customer energy use info","H subst for","","3/5/2015","Smith"
"HB 1897","f","Earth-abundant materials","H subst for","","6/28/2015","Smith"
"HB 1898","f#","Child victim testimony","H subst for","","3/2/2015","Ortiz-Self"
"HB 1899","","Public education system","H Education","","2/2/2015","Ortiz-Self"
"HB 1900","f","School counselor, etc.","H subst for","","2/15/2016","Ortiz-Self"
"HB 1901","f#","Vehicle registration periods","H Trans","","2/2/2015","Harmsworth"
"HB 1902","f","Spirits retail license tax","H Finance","","2/10/2015","Harmsworth"
"HB 1903","","Distillers' spirits sampling","H Commerce & Gami","","2/2/2015","Peterson"
"HB 1904","f","Assisted living paymnt rates","H Approps","","2/2/2015","Tharinger"
"HB 1905","","Govt land/vacant, undevelopd","H State Governme","","2/2/2015","Klippert"
"HB 1906","","Child support, higher ed","H Judiciary","","2/2/2015","Klippert"
"HB 1907","","Marijuana/religious facility","H Commerce & Gami","","2/2/2015","Klippert"
"HB 1908","","Electronic benefit cards","H Erly Lrn/H Svc","","2/2/2015","Klippert"
"HB 1909","f","Devel. disabilities services","H Erly Lrn/H Svc","","2/2/2015","Walsh"
"HB 1910","f#","Law enforcement oversight","H Judiciary","","2/2/2015","Ryu"
"HB 1911","","Water or sewer facilities","H Local Govt","","1/11/2016","Fitzgibbon"
"HB 1912","f","Distributed generation T.O.","H Tech &  Econ De","","7/10/2015","Morris"
"HB 1913","f","Rule making process & review","H State Governme","","2/2/2015","Wylie"
"HB 1914","d","Gifts to state officers, etc","H State Governme","","2/2/2015","Orwall"
"HB 1915","f","Government contracting","H subst for","","2/12/2016","Hunt, S."
"HB 1916","f","Chem dependncy & mental hlth","H subst for","","3/9/2015","Cody"
"HB 1917","f#","Recordings/law enf., etc.","H Judiciary","","1/11/2016","Hansen"
"EHB 1918","af#","ORV's, etc., & their drivers","C 84 L 16","","3/31/2016","Shea"
"HB 1919","","Special elections, timing of","H subst for","","3/11/2015","Hunt, S."
"HB 1920","fd","Electronic signatures","H State Governmen","","1/11/2016","Hunt, S."
"HB 1921","#","Regional transit authorities","H Trans","","2/2/2015","Hunt, S."
"HB 1922","f","Small loans","H Rules R","","2/27/2015","Springer"
"HB 1923","f","Income share agreements","H Approps","","2/20/2015","Zeiger"
"HB 1924","","Reg. transit authority brds","H Trans","","2/2/2015","Hargrove"
"HB 1925","fe","Alt. fuel vehicle tax exem","H Finance","","2/2/2015","Fitzgibbon"
"HB 1926","","Noncompetition agreements","H Rules R","","2/19/2015","Stanford"
"HB 1927","f","Distributed generation","H Tech &  Econ D","","2/3/2015","Fey"
"HB 1928","f","Homeless youth population","H Approps","","2/13/2015","Fey"
"HB 1929","fe#","Electric vehicle readiness","H Rules R","","2/20/2015","Fitzgibbon"
"HB 1930","","Amateur athletes/nonemployee","H Labor & Workpla","","1/11/2016","MacEwen"
"HB 1931","f","Health care for employees","H HC/Wellness","","2/3/2015","Cody"
"HB 1932","f","Medication mgmt for youth","H Approps","","2/20/2015","Kagi"
"HB 1933","","Group B water systems","H Environment","","2/3/2015","Short"
"HB 1934","","Local employment laws","H Labor","","2/3/2015","Manweller"
"HB 1935","","High occupancy vehicle lanes","H Trans","","2/3/2015","Harmsworth"
"HB 1936","","Certif'd employee contracts","H Labor","","2/3/2015","Muri"
"HB 1937","f","School employee insurance","H Approps","","2/3/2015","Magendanz"
"HB 1938","f","Tourism marketing","H Finance","","2/20/2015","Appleton"
"HB 1939","","Mobility/trans system goal","H Trans","","2/3/2015","Stambaugh"
"HB 1940","af","Flood control zone districts","C 170 L 15","PV","5/6/2015","Stokesbary"
"HB 1941","f","School district bonds/voting","H Education","","2/3/2015","Gregerson"
"HB 1942","f","Ballot measure filing","H State Governmen","","1/11/2016","Tarleton"
"EHB 1943","af#","Electronic monitoring","C 287 L 15","","5/18/2015","Shea"
"HB 1944","","State of emergency","H Judiciary","","2/3/2015","Rodne"
"HB 1945","","Detention standards","H Judiciary","","2/3/2015","Rodne"
"HB 1946","f#","Hospitals/WA wellness trust","H HC/Wellness","","2/3/2015","Jinkins"
"HB 1947","f","Students/disability, sp need","H Approps","","2/20/2015","Pollet"
"HB 1948","f","State wildlife account","H Ag & Nat Res","","2/3/2015","Blake"
"HB 1949","","Higher ed student protection","H subst for","","2/15/2016","Pollet"
"HB 1950","o","High sch science assessment","H Education","","2/3/2015","Lytton"
"HB 1951","#","Unmarked law enf. vehicles","H Rules C","","3/13/2015","Pike"
"HB 1952","","School district territory","H Education","","2/4/2015","Pike"
"HB 1953","","Bargaining rep recert. votes","H Labor","","2/4/2015","Pike"
"HB 1954","","Columbia gorge com tsk force","H Rules R","","2/20/2015","Pike"
"HB 1955","f","Higher ed academic progress","H Hi Ed","","2/4/2015","Van Werven"
"HB 1956","f","Independent review orgs","H subst for","","3/9/2015","Moeller"
"HB 1957","","Job order contract","H Rules C","","3/13/2015","Walkinshaw"
"HB 1958","f","Textbook costs, higher ed","H Hi Ed","","2/4/2015","Zeiger"
"HB 1959","fo#","Public works","H Cap Budget","","2/4/2015","Dunshee"
"HB 1960","","WA cmty learning ctr program","H Education","","2/4/2015","Sullivan"
"HB 1961","fo","Community and tech colleges","C 55 L 15","","4/22/2015","Zeiger"
"HB 1962","","Process server SSN's","C 56 L 15","","4/22/2015","Griffey"
"HB 1963","f","Ecology & DFW, land use","H Environment","","2/4/2015","Griffey"
"HB 1964","f","DFW commissioned officers","H Approps","","2/19/2015","Blake"
"HB 1965","fo","Liquor control brd temp. fee","H subst for","","6/29/2015","Hudgins"
"HB 1966","f","Transit agencies/natural gas","H subst for","","3/9/2015","Fey"
"HB 1967","f","Health care auth/fed waivers","H subst for","","3/9/2015","Cody"
"HB 1968","","Religious objectors","H Labor","","2/4/2015","Shea"
"HB 1969","","Medical marijuana/PTS, TBI","H HC/Wellness","","2/4/2015","Shea"
"HB 1970","fd","Permanency plans of care","H Erly Lrn/H Svc","","2/4/2015","Senn"
"HB 1971","f","Charter schools","H Education","","2/4/2015","Fey"
"HB 1972","","Sexual orient. chng efforts","H HC/Wellness","","2/4/2015","Jinkins"
"HB 1973","f","Open ed pilot program at EWU","H Approps","","2/20/2015","Stambaugh"
"HB 1974","f","School safety, security ctrs","H Approps","","2/20/2015","Stambaugh"
"HB 1975","f","Distiller license fees exem","H Commerce & Gam","","2/4/2015","Blake"
"HB 1976","f","WA distillery spirits","H Gen Govt & Info","","2/19/2015","Vick"
"HB 1977","f","Tuition and fees exemption","C 46 L 15","","4/22/2015","Moscoso"
"HB 1978","","Patient bill of rights","H HC/Wellness","","2/4/2015","Appleton"
"HB 1979","","Legislators accepting meals","H State Governme","","2/4/2015","Kilduff"
"HB 1980","","Sunshine committee rec's","H subst for","","3/10/2015","Springer"
"HB 1981","","Elementary science ed progrm","H Education","","2/4/2015","Pollet"
"HB 1982","f","Student completion","H Approps","","2/20/2015","Pollet"
"HB 1983","f","Teacher financial assistance","H subst for","","2/15/2016","Pollet"
"HB 1984","","Chemicals in food products","H Environment","","2/4/2015","Pollet"
"HB 1985","","Human sewage-exposed foods","H Ag & Nat Res","","2/4/2015","Pollet"
"HB 1986","f#","Uniformed personnel, county","H Labor","","2/5/2015","Kochmar"
"HB 1987","f#","Court marshals/bargaining","H Labor & Workpla","","1/11/2016","Kochmar"
"HB 1988","f","Resident undergrad tuition","H Hi Ed","","2/5/2015","Goodman"
"EHB 1989","a#","Water storage asset mgmt","C 187 L 15","","5/7/2015","Dent"
"HB 1990","f","Vehicle transfer/debt relief","H Rules X","","2/26/2016","Fey"
"HB 1991","","Education employee orgs","H Labor","","2/5/2015","Muri"
"HB 1992","","Capital budget resources","H Approps","","2/5/2015","Stanford"
"HB 1993","fd#","Commercial vehicles/fuel tax","H Trans","","1/11/2016","Moscoso"
"HB 1994","f","Traffic safety education","H Trans","","2/5/2015","Ryu"
"HB 1995","f","Studded tire fee, new","H Trans","","1/11/2016","Ryu"
"HB 1996","f","Music education/elem schools","H Education","","2/5/2015","Ortiz-Self"
"HB 1997","#","Community facilities distrct","H Rules R","","1/19/2016","Tharinger"
"EHB 1998","#","PUD natural gas production","H Tech &  Econ De","","1/11/2016","Johnson"
"HB 1999","f","Foster youth edu outcomes","H subst for","","3/5/2015","Carlyle"
"HB 2000","af","Marijuana agreemnts w/tribes","C 207 L 15","","5/8/2015","Hurst"
"HB 2001","f","Electronic amusement games","H Commerce & Gami","","1/11/2016","Zeiger"
"HB 2002","f#","Coal-fired electr gen facils","H Tech &  Econ De","","1/11/2016","Morris"
"HB 2003","f","Retired or disabled/coverage","H Approps","","2/6/2015","Ormsby"
"HB 2004","","Pro legislative staff member","H State Governme","","2/6/2015","Taylor"
"HB 2005","f","Office of corrections ombuds","H Approps","","2/20/2015","Moscoso"
"HB 2006","f","Limited-English parents","H Education","","2/6/2015","Moscoso"
"HB 2007","f","Emer medical transportation","C 147 L 15","","4/29/2015","Zeiger"
"HB 2008","","Marijuana tax reform","H Finance","","2/6/2015","Carlyle"
"HB 2009","f","Immunization exemps/children","H Rules C","","3/13/2015","Robinson"
"HB 2010","#","Public sewer required/appeal","H Local Govt","","1/11/2016","Takko"
"HB 2011","","Data ctr server equip tax ex","H Tech &  Econ De","","2/6/2015","Springer"
"HB 2012","f","Practical design, DOT use of","H subst for","","3/9/2015","Orcutt"
"HB 2013","f","Trans projects/enviro stds","H Environment","","2/6/2015","Orcutt"
"HB 2014","f","Trans project efficiencies","H Labor","","2/6/2015","Orcutt"
"HB 2015","","Nonprofits/prevailing wage","H Labor","","2/6/2015","Orcutt"
"HB 2016","fo#","Unmanned aerial vehicles","H Public Safety","","2/6/2015","Klippert"
"HB 2017","f","Farmer & rancher lic plates","H subst for","","3/10/2015","Klippert"
"HB 2018","f","For hire vehicle operators","H Bus & Fin Svcs","","2/6/2015","Kirby"
"HB 2019","","Teacher and principal eval.","H Education","","2/6/2015","Muri"
"HB 2020","","Utility emissions reduction","H Tech &  Econ De","","2/6/2015","Magendanz"
"HB 2021","","Pr. drug assist. foundation","H subst for","","3/4/2015","Riccelli"
"HB 2022","f","Natural disaster econ recov.","H Approps","","2/20/2015","Hawkins"
"HB 2023","f","School employee contracts","C 85 L 16","","3/31/2016","Parker"
"HB 2024","","Homeless higher ed students","H Hi Ed","","2/6/2015","Parker"
"HB 2025","f#","Human remains sale & display","H Rules R","","2/20/2015","Appleton"
"HB 2026","f","Resident physician hiring","H Finance","","2/6/2015","Haler"
"HB 2027","","Gambling devices regulation","H Commerce & Gami","","2/9/2015","Chandler"
"HB 2028","f","Chem dependency services/B&O","H Finance","","2/9/2015","Cody"
"HB 2029","#","Public trans benefit areas","H Rules R","","2/9/2016","Fey"
"HB 2030","","Supreme crt justice distrcts","H Judiciary","","2/9/2015","Manweller"
"HB 2031","","Firearm safety products","H Judiciary","","2/9/2015","Harmsworth"
"HB 2032","","Tribal-state relations","H Approps","","1/29/2016","Sawyer"
"EHB 2033","f#","Sexual assault protect order","H Rules 3C","","3/10/2016","Goodman"
"HB 2034","f","Assistant attorneys general","H Approps","","2/20/2015","Reykdal"
"HB 2035","f","Terms of leases/DES director","H Cap Budget","","1/11/2016","Scott"
"HB 2036","f#","Permits & approval under SMA","H Gen Govt & Inf","","2/20/2015","Fitzgibbon"
"HB 2037","f","Violence, mental health/K-12","H Education","","2/9/2015","Klippert"
"HB 2038","","Eminent domain/econ devel","H Judiciary","","2/9/2015","Holy"
"HB 2039","","Cmty/tech college/SNG, CBS","H Hi Ed","","2/9/2015","Hargrove"
"HB 2040","f","Veteran employment","H subst for","","3/5/2015","McCabe"
"HB 2041","f","Need grant prog scholarships","H subst for","","3/10/2015","Hansen"
"HB 2042","f#","Voyeurism in the 2nd degree","H subst for","","3/11/2015","McCabe"
"HB 2043","f","Guardianships maximum fee","H Approps","","2/10/2015","Schmick"
"HB 2044","f#","Emergency medical services","H HC/Wellness","","1/11/2016","Schmick"
"HB 2045","f","Net metering systems","H Tech &  Econ D","","2/9/2015","Morris"
"HB 2046","f#","Streams, definition in SMA","H Rules X","","2/26/2016","Dent"
"HB 2047","","Eminent domain/owner option","H Judiciary","","2/9/2015","Vick"
"HB 2048","f","Large 1st-class school dists","H Education","","1/11/2016","Santos"
"HB 2049","f#","Affordable urban housing","H Cap Budget","","2/20/2015","Santos"
"HB 2050","f#","Small business enhancement","H Approps","","2/20/2015","Pettigrew"
"HB 2051","","Tenant relocation","H Rules C","","3/13/2015","Farrell"
"HB 2052","","Tacoma Narrows bridge","H Trans","","2/9/2015","Young"
"HB 2053","","Govt private proprty actions","H Judiciary","","2/9/2015","Young"
"HB 2054","","Unemployment benefits","H Labor","","2/9/2015","Young"
"HB 2055","a","Ballot measure statements","C 171 L 15","PV","5/6/2015","Johnson"
"HB 2056","","Fish, wildlife/tribes, state","H Comm Dev, Hous","","2/10/2015","Sawyer"
"HB 2057","f#","Light pollution study","H Environment","","2/10/2015","Farrell"
"HB 2058","f#","Cannabis, medical use of","H Commerce & Gam","","2/10/2015","Moscoso"
"HB 2059","","Energy efficient constrction","H Local Govt","","2/10/2015","Peterson"
"HB 2060","","Competency eval. timeliness","H subst for","","3/4/2015","Jinkins"
"HB 2061","","Group B water systems","H subst for","","2/16/2016","Short"
"HB 2062","","Land use permit process","H Judiciary","","2/10/2015","Takko"
"HB 2063","f","Disability/investing program","H subst for","","3/10/2015","Kilduff"
"HB 2064","f","Utility compliance options","H Tech &  Econ De","","1/11/2016","Morris"
"HB 2065","f","Health care access and edu","H Hi Ed","","2/10/2015","Cody"
"HB 2066","f","Wax & ceramic to make molds","H Finance","","2/10/2015","Sells"
"HB 2067","","Grandparents/child placement","H Erly Lrn/H Svc","","2/10/2015","Young"
"HB 2068","","Union security provisions","H Labor","","2/10/2015","Young"
"HB 2069","","Natural resources management","H Ag & Nat Res","","2/10/2015","Blake"
"HB 2070","","Forest fire suppression","H Ag & Nat Res","","2/10/2015","Kretz"
"HB 2071","","Forest mgmt and stream flow","H Ag & Nat Res","","2/10/2015","Kretz"
"HB 2072","f","Excess vacation day transfer","H Approps","","2/11/2015","Hunt, S."
"HB 2073","","Energy independence act","H Tech &  Econ De","","2/11/2015","Fey"
"HB 2074","","Petition-based annexing T.O.","H Rules X","","1/28/2016","Fey"
"HB 2075","","Certification of elections","H State Governme","","2/11/2015","Bergquist"
"HB 2076","f","Racial disproportionality","H Rules R","","2/9/2016","Sawyer"
"HB 2077","","Emer medical services/prog","H HC/Wellness","","2/11/2015","Peterson"
"HB 2078","f","Ferry employee organizations","H Approps","","2/19/2015","Sells"
"HB 2079","","Parks and recreational land","H Environment","","2/11/2015","Parker"
"HB 2080","fo","Health professionals","H Approps","","2/5/2016","Stanford"
"HB 2081","","Adjudicative proceedings","H Judiciary","","2/11/2015","Hurst"
"HB 2082","","Commerce in liquor T.O.","H Commerce & Gami","","2/11/2015","Springer"
"HB 2083","f","St retirement syst employers","H Approps","","2/11/2015","Hunter"
"EHB 2084","f#","State-required reports","H Finance","","1/11/2016","Hunter"
"HB 2085","f#","Traffic infrac alt penalties","H subst for","","3/9/2015","Goodman"
"2EHB 2086","","The homeless/religious orgs","H Rules 3C","","3/10/2016","McBride"
"HB 2087","f","Clean altern. fuel vehicles","H Approps","","4/7/2015","Fey"
"HB 2088","","Pistols/possession when 18","H Judiciary","","2/11/2015","Shea"
"HB 2089","","Concealed pistol licenses","H Judiciary","","2/11/2015","Shea"
"HB 2090","","Deputy prosecuting attorneys","H Judiciary","","2/11/2015","Shea"
"HB 2091","","Constitutional governance","H Judiciary","","2/11/2015","Shea"
"HB 2092","","Nat. resources agencies/land","H Cap Budget","","2/11/2015","Shea"
"HB 2093","f","Wildland fire suppression","H subst for","","3/10/2015","Kretz"
"HB 2094","","Motorcycle operators","H Bus & Fin Svcs","","2/11/2015","Sells"
"HB 2095","f","Behavioral rehab services","H Approps","","2/11/2015","Pettigrew"
"HB 2096","f","WMMFA/minorities and women","H Tech &  Econ D","","2/11/2015","Sells"
"HB 2097","f#","Ltd jurisdiction courts/fees","H Rules R","","1/21/2016","Kirby"
"HB 2098","f","Human trafficking laws progr","H Public Safety","","1/11/2016","Orwall"
"HB 2099","","Kidney disease treatmnt ctrs","H HC/Wellness","","2/12/2015","MacEwen"
"HB 2100","","School-age childcare progrms","H Erly Lrn/H Svc","","1/11/2016","Kagi"
