Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"SHB 1000","f","DFW land, water rights","H Gen Govt & Inf","","2/12/2015","Blake"
"HB 1001","","Funding education first","H Approps","","1/12/2015","MacEwen"
"HB 1004","f","Alcohol tasting by students","C 59 L 15","","4/23/2015","Springer"
"SHB 1008","","Agency data practices audits","H Gen Govt & Info","","1/11/2016","Smith"
"SHB 1010","","Occupational therapists","C 10 L 15","","4/17/2015","Johnson"
"HB 1011","","Climate zones, counties in","C 11 L 15","","4/17/2015","Short"
"SHB 1018","","Breed-based dog regulations","H Rules R","","2/5/2016","Appleton"
"HB 1027","","Dental health aides & tribes","H Comm Dev, Hous","","1/12/2015","Appleton"
"HB 1033","f","Hunting, private land access","H Ag & Nat Res","","1/12/2015","Blake"
"HB 1051","","Supreme court elections","H Judiciary","","1/12/2015","DeBolt"
"HB 1061","fo#","District judges, Skagit Cnty","C 25 L 15 E3","","7/6/2015","Hayes"
"HB 1102","f#","Sewer system in right-of-way","H Local Govt","","1/12/2015","Takko"
"HB 1104","f#","Interference w/ag production","H Public Safety","","1/12/2015","Schmick"
"HB 1114","f","Internet poker","H Commerce & Gam","","1/12/2015","Appleton"
"HB 1119","f","Hunter safety & minimum ages","H Ag & Nat Res","","1/13/2015","Blake"
"EHB 1123","","Single-family res. dwellings","H Rules X","","2/26/2016","Blake"
"SHB 1131","","Ivory and rhinoceros horns","H Gen Govt & Info","","2/5/2015","Pettigrew"
"SHB 1132","f","Adult family homes","C 66 L 15","","4/23/2015","Tharinger"
"HB 1137","f","Geologists & well operators","H Ag & Nat Res","","1/14/2015","Short"
"HB 1155","f","Senior citizens, property tx","H Finance","","1/14/2015","Pike"
"HB 1158","f#","Growth mgmt/sup court review","H Local Govt","","1/14/2015","Pike"
"HB 1179","f","Cider makers/wine c. assmnt","C 76 L 15","","4/24/2015","Lytton"
"HB 1181","","Asbestos abating/respirators","H Labor","","1/15/2015","Taylor"
"HB 1182","fd","Geological hazard assessment","H Ag & Nat Res","","1/11/2016","Hurst"
"EHB 1187","f#","Water banking best practices","H Rules X","","2/2/2016","Chandler"
"HB 1189","","City, district publ. records","H Rules 3C","","4/24/2015","Hunt, S."
"SHB 1190","","Optometrists/hydrocodone use","H HC/Wellness","","1/11/2016","Harris"
"SHB 1191","f","Concealed pistol license","H Approps","","2/9/2015","Taylor"
"HB 1192","f","Federal land transfer","H Cap Budget","","1/15/2015","Taylor"
"HB 1193","","Legal firearms, owners of","H Judiciary","","1/15/2015","Taylor"
"HB 1195","f","Tow truck operators","H Labor & Workpla","","1/11/2016","Rodne"
"HB 1199","f","Species status/F&W comm.","H Ag & Nat Res","","1/15/2015","Short"
"HB 1200","f","Fish and wildlife policies","H State Governme","","1/15/2015","Scott"
"HB 1201","","Administrative rules","H State Governme","","1/15/2015","Scott"
"HB 1202","","Ecology administrative rules","H State Governme","","1/15/2015","Scott"
"HB 1203","","Adminstrative rules & policy","H State Governme","","1/15/2015","Scott"
"HB 1204","f","Ecology policies enforcement","H State Governme","","1/15/2015","Scott"
"HB 1205","f","Nongovernment parties/claims","H Judiciary","","1/15/2015","Shea"
"HB 1206","","Admin action/judicial review","H Judiciary","","1/15/2015","Shea"
"HB 1207","","Law interpretation, judicial","H Judiciary","","1/15/2015","Shea"
"HB 1208","f","Adjudicative proceedings","H Judiciary","","1/15/2015","Scott"
"HB 1209","","Jnt. admin rules review comm","H State Governme","","1/15/2015","Scott"
"HB 1210","f#","Poll-site voting & voting ID","H State Governme","","1/15/2015","Hunt, G."
"ESHB 1211","","Wage payment/fees and costs","H Labor & Workpla","","1/11/2016","Hunt, G."
"HB 1214","","Ag lands/shoreline mgmt act","H Local Govt","","1/15/2015","Scott"
"HB 1215","f#","Ag land conversion/GMA","H Local Govt","","1/15/2015","Scott"
"HB 1216","","Ag land conversion/GMA, SMA","H Local Govt","","1/15/2015","Scott"
"HB 1217","","Capitol furnishings pres com","H State Governmen","","1/11/2016","Moeller"
"HB 1218","f","Nontoll transp. projects","H Trans","","1/11/2016","Zeiger"
"HB 1219","f","State bridges","C 10 L 15 E3","","7/6/2015","Zeiger"
"HB 1220","f","Ag crop protection products","H Finance","","1/21/2015","Blake"
"HB 1225","","Species status/F&W comm.","H Ag & Nat Res","","1/15/2015","Kretz"
"HB 1228","f","Ballot measure fiscal info","H State Governme","","1/15/2015","Johnson"
"HB 1229","","Initiatives, fiscal info","H State Governme","","1/15/2015","Johnson"
"HB 1233","","Groundwater for domestic use","H Ag & Nat Res","","1/15/2015","Chandler"
"HB 1237","","Landowners and forest fires","H Ag & Nat Res","","1/15/2015","Kretz"
"SHB 1240","af","Student restraint, isolation","C 206 L 15","","5/8/2015","Pollet"
"HB 1245","","Gun sale background checks","H Judiciary","","1/16/2015","Shea"
"HB 1246","","Foreign laws","H Judiciary","","1/16/2015","Shea"
"HB 1247","","Human decapitation","H Judiciary","","1/16/2015","Shea"
"HB 1253","f","Workplace injury reporting","H Labor","","1/16/2015","Manweller"
"HB 1254","f","Prevailing wages/pilot prjct","H Labor","","1/16/2015","Manweller"
"HB 1256","f","Derelict vessel prevention","H Ag & Nat Res","","1/16/2015","Tharinger"
"EHB 1258","f#","Detention decision review","H Judiciary","","1/11/2016","Walkinshaw"
"HB 1259","","ARNPs/signing documentation","C 104 L 15","","4/25/2015","Cody"
"HB 1262","","Fed. govt owning land in WA","H Cap Budget","","1/16/2015","Blake"
"HB 1263","","CPAs/priv. investigator regs","C 105 L 15","","4/25/2015","Stokesbary"
"HB 1266","","Irrigation distrct elections","H State Governme","","1/16/2015","Buys"
"HB 1267","","Irrigation/water right chngs","H Rules R","","2/12/2015","Buys"
"HB 1268","f","Hemp in animal feed","C 106 L 15","","4/25/2015","Buys"
"HB 1269","f","Dairy inspection program","H Gen Govt & Info","","2/12/2015","Buys"
"SHB 1270","f","Salmon hatchery management","H Gen Govt & Inf","","2/20/2015","Buys"
"HB 1271","f","Rock collecting, state lands","H Ag & Nat Res","","1/16/2015","Buys"
"2E2SHB 1272","f#","Intimate images/disclosing","C 7 L 15 E2","","7/9/2015","Buys"
"2SHB 1281","af#","Sexual exploitation of minor","C 279 L 15","","5/18/2015","Sawyer"
"HB 1289","f","State energy code, adoption","H Tech &  Econ D","","1/16/2015","Buys"
"HB 1291","","Residential fire sprinklers","H Labor","","1/16/2015","Buys"
"SHB 1296","f","Cigar lounges & tobacconists","H HC/Wellness","","2/2/2015","Vick"
"HB 1301","","Fantasy sports contests","H Commerce & Gam","","1/16/2015","Pettigrew"
"HB 1310","fd","NFPA, bldg code council/stds","H Local Govt","","1/11/2016","Takko"
"HB 1326","","Public art works/trans funds","H Trans","","1/19/2015","Shea"
"HB 1338","","Municipal waters, diversion","H Ag & Nat Res","","1/19/2015","Buys"
"HB 1341","fd","Fishing guide/unlawfully","H Ag & Nat Res","","1/11/2016","Tharinger"
"SHB 1346","f","Hunting opportunity/st. land","H Gen Govt & Inf","","2/13/2015","Blake"
"HB 1350","","Supreme crt election distr's","H Judiciary","","1/19/2015","Haler"
"HB 1358","f","Trans. project taxes & bonds","H Trans","","1/19/2015","MacEwen"
"HB 1374","","Agency contract information","H Judiciary","","1/19/2015","Taylor"
"HB 1375","","Trespass on private property","H State Governme","","1/19/2015","Taylor"
"HB 1379","","Feb, April special elections","H State Governme","","1/19/2015","Shea"
"SHB 1381","f","Aluminum smelter tax prefs","H Finance","","2/20/2015","Buys"
"HB 1384","f","Dental professionals","H HC/Wellness","","1/19/2015","Harris"
"HB 1385","","Revenue growth for education","H Approps","","1/19/2015","Magendanz"
"HB 1394","","Land use permit process","H Judiciary","","1/20/2015","Takko"
"SHB 1400","f","Higher ed budget info/online","H Approps","","2/20/2015","Haler"
"HB 1423","","Female genital mutilation","H Public Safety","","1/20/2015","Scott"
"HB 1427","f","Property tax relief programs","H Finance","","1/20/2015","Stokesbary"
"HB 1434","","Forage fish spawning habitat","H Ag & Nat Res","","1/20/2015","Blake"
"HB 1435","","Ocean vessels/moorage facils","H Ag & Nat Res","","1/20/2015","Blake"
"HB 1454","","Industrial insurnce benefits","H Labor","","1/21/2015","Pike"
"HB 1522","f","Intrastate meat inspection","H Approps","","2/18/2015","Taylor"
"HB 1523","","Water rights relinquishment","H Ag & Nat Res","","1/22/2015","Taylor"
"HB 1524","f","Nonparent responsibilities","H Judiciary","","1/22/2015","Caldier"
"SHB 1525","","Beverage containers","H Rules R","","2/5/2016","Caldier"
"SHB 1527","a","Pesticide licensees","C 184 L 15","","5/7/2015","Dent"
"HB 1533","","Firearm transfer for exhibit","H Judiciary","","1/22/2015","Van Werven"
"HB 1534","f#","Fuel tax/border area use","H Trans","","1/22/2015","Van Werven"
"SHB 1552","f","Industrial hemp","H Approps","","2/13/2015","Shea"
"SHB 1559","f","Higher ed programs/UW, WSU","C 6 L 15","","4/1/2015","Riccelli"
"SHB 1575","","Contract retainage bonds","C 280 L 15","","5/18/2015","Buys"
"HB 1608","f","Household appliances","H Labor","","1/23/2015","Buys"
"HB 1623","f","Railroad funding","H Trans","","1/23/2015","Manweller"
"HB 1624","","Intimate images/distributing","H Judiciary","","1/23/2015","Orwall"
"HB 1664","f","License plates/one, optional","H Trans","","1/26/2015","Hunt, G."
"HB 1717","f","Children's advocacy centers","H Erly Lrn/H Svc","","1/27/2015","Sawyer"
"HB 1736","f","Aerospace tax preferences","H Finance","","2/20/2015","Orcutt"
"SHB 1738","","Marine etc. fuel tax refunds","C 9 L 15 E2","","7/9/2015","Orcutt"
"HB 1742","fd","Cottage food operations","H Ag & Nat Res","","1/11/2016","Lytton"
"ESHB 1754","","Building envelope/public wrk","H Rules X","","2/26/2016","Buys"
"HB 1769","fd","High-tech R&D tax prefs","H Finance","","3/5/2015","Pettigrew"
"HB 1773","","Bargaining unit reps","H Labor","","1/28/2015","Hunt, G."
"HB 1823","fd","Food processing tax prefs","H Finance","","1/29/2015","Nealey"
"HB 1861","f","Small business B&O tax defer","H Finance","","1/30/2015","Harmsworth"
"HB 1881","","Carbon content of fuel","H Environment","","2/2/2015","Short"
"HB 1886","","Initiative 594, full repeal","H Judiciary","","2/2/2015","Hunt, G."
"SHB 1888","f","Chemical dependency treatmnt","H Approps","","2/5/2016","Dent"
"HB 1889","f#","Permit exempt wells & GMHBs","H Local Govt","","2/2/2015","Dent"
"SHB 1897","","Earth-abundant materials","C 20 L 15 E3","","7/6/2015","Smith"
"HB 1901","f#","Vehicle registration periods","H Trans","","2/2/2015","Harmsworth"
"HB 1905","","Govt land/vacant, undevelopd","H State Governme","","2/2/2015","Klippert"
"HB 1908","","Electronic benefit cards","H Erly Lrn/H Svc","","2/2/2015","Klippert"
"2SHB 1922","f","Small loans","H Rules R","","2/27/2015","Springer"
"HB 1935","","High occupancy vehicle lanes","H Trans","","2/3/2015","Harmsworth"
"HB 1958","f","Textbook costs, higher ed","H Hi Ed","","2/4/2015","Zeiger"
"HB 1963","f","Ecology & DFW, land use","H Environment","","2/4/2015","Griffey"
"HB 1968","","Religious objectors","H Labor","","2/4/2015","Shea"
"HB 2004","","Pro legislative staff member","H State Governme","","2/6/2015","Taylor"
"HB 2010","#","Public sewer required/appeal","H Local Govt","","1/11/2016","Takko"
"HB 2030","","Supreme crt justice distrcts","H Judiciary","","2/9/2015","Manweller"
