 ,  , Q1 Totals, Q2 Totals, Q3 Totals, Q4 Totals, Annual Totals
 , , 1010715.18, 574831.28, 485570.89, 630761.59, 2701878.95
Name, Year, Q1, Q2, Q3, Q4, Total
ADMINISTRATIVE OFFICE OF THE COURTS, 2015, 0.00, 678.92, 301.01, 724.19, 1704.13
ADMIRALS COVE WATER DIST, 2015, 0.00, 0.00, 0.00, 0.00, 0.00
ATTORNEY GENERAL; OFFICE OF, 2015, 22401.91, 7934.79, 3576.87, 3786.35, 37699.91
BELLEVUE COLLEGE, 2015, 0.00, 0.00, 0.00, 0.00, 0.00
BENTON PUD 01- ELEC, 2015, 8700.00, 8700.00, 8700.00, 8700.00, 34800.00
BETHEL SD 403, 2015, 17862.52, 10500.00, 12000.00, 12605.46, 52967.99
CITY OF EVERETT, 2015, 37557.73, 29890.24, 72610.75, 73943.15, 214001.87
CITY OF FIFE, 2015, 11975.48, 23224.48, 3377.38, 10229.32, 48806.66
CITY OF KENNEWICK, 2015, 10500.00, 10500.00, 10500.00, 10990.73, 42490.73
CITY OF KENT, 2015, 18280.24, 17685.60, 35264.20, 0.00, 71230.04
CITY OF LA CENTER, 2015, 6000.00, 6000.00, 6000.00, 6000.00, 24000.00
CITY OF LAKE STEVENS, 2015, 15321.77, 14968.25, 14978.21, 16152.32, 61420.55
CITY OF LANGLEY, 2015, 500.01, 0.00, 0.00, 0.00, 500.01
CITY OF OMAK, 2015, 6000.00, 4000.00, 3000.00, 3000.00, 16000.00
CITY OF PUYALLUP, 2015, 13220.66, 12812.23, 12437.06, 24901.36, 63371.31
CITY OF SOUTH BEND, 2015, 2000.00, 10000.00, 0.00, 0.00, 12000.00
CITY OF SPOKANE VALLEY, 2015, 0.00, 15452.53, 3345.33, 212.25, 19010.12
CITY OF SUMNER, 2015, 1900.00, 27000.00, 3750.00, 2250.00, 34900.00
CLARK PUBLIC UTILITIES, 2015, 16406.89, 13938.37, 14067.94, 14024.22, 58437.42
COMM COLLEGES OF SPOKANE, 2015, 345.99, 0.00, 103.99, 0.00, 449.98
COMMERCE; DEPT OF, 2015, 11530.06, 906.27, 32.45, 52.85, 12521.62
COMMUNITY & TECH COLL; BD FOR, 2015, 1390.77, 301.08, 0.00, 573.68, 2265.53
CORRECTIONS; DEPT OF, 2015, 4296.55, 0.00, 0.00, 0.00, 4296.55
DEPT. OF FINANCIAL INSTITUTIONS, 2015, 19611.71, 586.42, 0.00, 1779.93, 21978.05
EARLY LEARNING; DEPT OF, 2015, 5018.07, 141.54, 0.00, 0.00, 5159.62
EASTERN WASHINGTON UNIVERSITY, 2015, 16834.99, 6843.03, 2940.75, 1436.57, 28055.35
ECOLOGY; DEPT OF, 2015, 0.00, 0.00, 4045.05, 3495.25, 7540.30
EDMONDS SD 015, 2015, 0.00, 0.00, 0.00, 0.00, 0.00
EDUCATIONAL SERVICE DISTRICT 105, 2015, 2193.85, 0.00, 0.00, 0.00, 2193.85
ENTERPRISE SERVICES; DEPT OF, 2015, 1763.69, 410.33, 69.47, 237.63, 2481.12
EVERETT SD 002, 2015, 2090.00, 1102.68, 0.00, 2608.50, 5801.18
EVERGREEN STATE COLLEGE, 2015, 8220.64, 1222.52, 0.00, 6477.45, 15920.61
