 , Total Compensation, Total Personal Expenses, Total Entertainment, Total Contributions, Total Advertising, Total Political Ads, Total Other Expenses, Totals
 , 21894674.61, 275115.20, 197096.15, 1623793.40, 58522.63, 493986.80, 821946.46, 25264595.24

Name, Compensation, Personal Expenses, Entertainment, Contributions, Advertising, Political Ads, Other Expenses, Total
ADVOCATES INC* , 81400.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 81400.00
AEQUUS CORPORATION* , 19000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 19000.00
AHNE PLLC* , 61672.97, 1484.51, 0.00, 0.00, 0.00, 0.00, 0.00, 63157.48
ALDRICH ALLEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ALIA CINDY, 6000.00, 129.00, 0.00, 50.00, 0.00, 0.00, 0.00, 6179.00
ALKIRE WILLIAM, 12500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12500.00
ALLEN JENNIFER, 4773.24, 202.28, 1941.00, 0.00, 7216.00, 1394.61, 1877.65, 17404.78
ALLEN MARK, 25200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 25200.00
ALLEN NICHOLAS, 1129.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1129.07
ALLIANCES NORTHWEST* , 370463.75, 14132.68, 6211.81, 0.00, 0.00, 0.00, 1172.48, 391981.12
ALTHAUSER MICHAEL, 2313.68, 0.00, 0.00, 100.00, 0.00, 0.00, 0.00, 2313.68
AMBER CARTER GOVT RELATIONS LLC* , 140200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 30000.00, 170200.00
AMBER D LEWIS CONSULTING LLC* , 85483.35, 0.00, 114.24, 0.00, 0.00, 0.00, 0.00, 85603.03
ANDERSON LIZ, 1175.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1175.00
ANDERSON RICK, 3000.00, 106.95, 0.00, 0.00, 0.00, 0.00, 0.00, 3106.95
ARBAUGH DAVID, 125000.00, 0.00, 65.73, 0.00, 0.00, 0.00, 0.00, 125065.73
ARLEDGE CODY, 41000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 41000.00
ARMSTRONG MIKE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ARMSTRONG & ASSOC* , 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ATWOOD NANCY, 29156.32, 175.41, 180.67, 1050.00, 0.00, 0.00, 0.00, 30562.40
AUDLEY JOHN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
AUSTIN ANDREW, 604.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 604.44
AVERY JANIS, 2313.76, 223.20, 0.00, 0.00, 0.00, 0.00, 0.00, 2536.96
AXELROD JARED, 10000.00, 151.00, 0.00, 1142.29, 0.00, 15000.00, 0.00, 26293.29
AYON MAURICIO, 4168.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4168.00
BABB ANDERSON SHEILA, 9000.00, 772.71, 0.00, 120.00, 0.00, 0.00, 0.00, 9892.71
BABER KATE, 905.02, 132.40, 0.00, 0.00, 0.00, 0.00, 0.00, 1037.42
BACA BERNAL, 11500.00, 1305.53, 153.40, 0.00, 0.00, 0.00, 0.00, 12958.93
BAHR LOGAN, 1500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1500.00
BAKER MELINDA, 260.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 260.42
BAKER ROSS, 23400.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 23400.00
BALDWIN CHESTER, 92473.42, 6342.14, 0.00, 0.00, 0.00, 0.00, 0.00, 98815.56
BANDOLI CHRISTOPHER, 12500.00, 1242.58, 0.00, 117750.00, 0.00, 0.00, 0.00, 131492.58
BANKS BRAD, 3268.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3268.08
BARBOUR HILLARY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BARKER MITCH, 6537.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6537.13
BARRETTE MARGARET, 1875.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1875.00
BASS BOB, 5000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5000.00
BASS TYLER, 669.82, 19.50, 0.00, 0.00, 0.00, 0.00, 0.00, 689.32
BATES THOMAS, 5000.00, 200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5200.00
BATTLES ROBERT, 34375.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 34375.01
BAXTER GORDON, 25199.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 25199.00
BEARD DAVID, 793.32, 138.00, 791.00, 0.00, 0.00, 0.00, 0.00, 1722.32
BEAULAC JEFF, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BEAVER NEIL, 5000.00, 150.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5150.00
BECK ELIZABETH, 986.54, 0.00, 1292.09, 116.93, 0.00, 0.00, 0.00, 2395.56
BECKETT BRUCE, 45500.00, 18.00, 9487.00, 0.00, 0.00, 0.00, 29000.00, 84005.00
BELL PAUL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BENDER JERRY, 21190.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 21190.40
BENDER RICK, 30000.00, 0.00, 0.00, 80.00, 0.00, 0.00, 0.00, 30000.00
BENSON ALISHA, 0.00, 180.00, 0.00, 0.00, 0.00, 0.00, 0.00, 180.00
BENTLER T K, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BENZ PAUL, 2870.03, 1990.10, 0.00, 0.00, 0.00, 0.00, 0.00, 4860.13
BERENDT ELIZABETH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BERENDT PAUL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BERENDT & ASSOC LLC* , 26000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 26000.00
BERG LAURA, 2773.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2773.40
BERGLUND TROY, 1008.42, 182.77, 432.04, 0.00, 0.00, 0.00, 0.00, 1623.23
BERRY ELIZABETH, 33330.00, 1657.82, 0.00, 0.00, 0.00, 0.00, 0.00, 34987.82
BERSCHAUER ROBERT, 5341.35, 213.64, 0.00, 0.00, 0.00, 0.00, 0.00, 5554.99
BERTUCCI PATRICK, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BJORK BRUCE, 7500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7500.00
BLACKLEDGE ANNIE, 2464.10, 33.00, 0.00, 0.00, 0.00, 0.00, 10507.91, 13005.01
BLONIEN SCOTT, 6044.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6044.28
BOCK CANDICE, 1210.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1210.83
BOE SIMONE, 0.00, 0.00, 0.00, 25658.54, 0.00, 0.00, 9246.01, 34904.55
BOERM DEVIN, 335.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 335.54
BOGARD REBECCA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOGARD & JOHNSON LLC* , 321794.15, 3736.30, 395.70, 0.00, 0.00, 0.00, 0.00, 325926.15
BONAGOFSKY JERROLD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOOTH CHARLOTTE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BORNSTEDT DONALD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOSH JONI, 4675.12, 2838.94, 0.00, 0.00, 0.00, 0.00, 0.00, 7534.06
BOSS PATRICK, 37000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 37000.00
BOSWELL BRAD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOSWELL CONSULTING* , 212000.00, 596.30, 644.13, 0.00, 0.00, 0.00, 0.00, 213240.43
BOWERS MARCY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOYD TIMOTHY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BOYER VIOLET, 10333.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10333.00
BRACKENBURY AMY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BRADY BRYNN, 39000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 39000.00
BREAUX STEVE, 1301.90, 1349.48, 0.00, 0.00, 0.00, 0.00, 0.00, 2651.38
BRETT ROBERT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BREWER CHRISTINE, 80500.00, 1327.40, 325.64, 0.00, 0.00, 0.00, 0.00, 82153.04
BRIDENSTINE CATE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BRIDGE BOBBE, 1080.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1080.27
BRIDGES WILLIAM, 52394.30, 4022.66, 0.00, 27250.00, 0.00, 0.00, 0.00, 83666.96
BRIGHT DALE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BRITTELL TIM, 781.84, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 781.84
BRITTON-SIPE MARIA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BRONNUM AMBER, 3000.00, 698.30, 0.00, 0.00, 0.00, 0.00, 0.00, 3698.30
BROWN CHARLES, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BROWN LARRY, 8690.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8690.40
BROWN MARIO, 1320.00, 170.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1490.00
BROWN MARK, 97250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 97250.00
BRUNELL DON, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BRYANT ANNE, 25000.00, 0.00, 0.00, 5500.00, 0.00, 0.00, 6515.71, 37015.71
BUCHHOLZ BENJAMIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BUCHHOLZ & ASSOC LLC* , 97248.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 97248.00
BUCKLEY BETTY, 4800.00, 0.00, 214.83, 0.00, 0.00, 0.00, 0.00, 5014.83
BUCKLEY EDWARD, 3000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00
BUCKNER STEPHEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BUGERT TOM, 5925.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5925.33
BUNNEY SHAWN, 18000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 18000.00
BURBANK JOHN, 488.80, 0.00, 0.00, 537.68, 0.00, 0.00, 0.00, 1026.48
BURGESS MIKE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
BURKE CARL, 37500.00, 204.31, 56.44, 0.00, 0.00, 0.00, 0.00, 37760.75
